Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2007-03-05T15:00:00Z,EEM,29.017518739786,174,4,Filled,5049.0482607227, 
2007-03-09T15:00:00Z,TLT,62.650221786,80,4,Filled,5012.01774288, 
2007-05-11T14:05:00Z,EEM,33.533267554699,-174,0,Filled,-5834.7885545176,Liquidated 
2007-05-14T14:05:00Z,TLT,62.050789724,-80,0,Filled,-4964.06317792,Liquidated 
2007-08-17T14:00:00Z,TLT,61.881509944,81,4,Filled,5012.402305464, 
2007-09-07T14:00:00Z,DIA,101.671918856,49,4,Filled,4981.924023944, 
2007-09-07T14:00:00Z,EEM,36.039925026706,141,4,Filled,5081.6294287655, 
2007-09-07T14:00:00Z,EFA,55.90104264,89,4,Filled,4975.19279496, 
2007-09-07T14:00:00Z,QQQ,44.178249321,114,4,Filled,5036.320422594, 
2007-09-07T14:00:00Z,SPY,117.631985289,42,4,Filled,4940.543382138, 
2007-09-17T14:00:00Z,LQD,67.88122495,74,4,Filled,5023.2106463, 
2007-10-19T14:05:00Z,TLT,64.3784648,-81,0,Filled,-5214.6556488,Liquidated 
2007-10-22T14:00:00Z,GLD,75.16,69,4,Filled,5186.04, 
2007-11-09T15:05:00Z,DIA,101.45695161,-49,0,Filled,-4971.39062889,Liquidated 
2007-11-09T15:05:00Z,EEM,41.604597032695,-141,0,Filled,-5866.24818161,Liquidated 
2007-11-09T15:05:00Z,EFA,59.14639668,-89,0,Filled,-5264.02930452,Liquidated 
2007-11-09T15:05:00Z,QQQ,46.073631286,-114,0,Filled,-5252.393966604,Liquidated 
2007-11-09T15:05:00Z,SPY,117.633460624,-42,0,Filled,-4940.605346208,Liquidated 
2007-11-19T15:00:00Z,EEM,39.937078113549,127,4,Filled,5072.0089204207, 
2007-11-19T15:00:00Z,EFA,58.09111452,88,4,Filled,5112.01807776, 
2007-11-19T15:05:00Z,LQD,69.13034825,-74,0,Filled,-5115.6457705,Liquidated 
2007-11-30T15:00:00Z,LQD,70.606332225,74,4,Filled,5224.86858465, 
2007-12-14T15:00:00Z,DIA,103.1375632,49,4,Filled,5053.7405968, 
2007-12-14T15:00:00Z,SPY,118.278823184,42,4,Filled,4967.710573728, 
2007-12-24T15:05:00Z,GLD,80.49,-69,0,Filled,-5553.81,Liquidated 
